
江西本地,#genre#
江西卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226656/46275837.smil
江西卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225557/iptv7969.smil
江西卫视,http://221.214.140.137:9901/tsfile/live/0138_1.m3u8
江西卫视,http://221.2.36.34:8888/newlive/live/hls/48/live.m3u8
江西都市,rtsp://115.153.230.145/PLTV/88888888/224/3221227069/94448631.smil
江西都市,rtsp://115.153.254.81/PLTV/88888888/224/3221226728/53707442.smil
江西都市,rtsp://115.153.233.154/PLTV/88888888/224/3221227069/94448631.smil
江西都市,rtsp://115.153.245.70/PLTV/88888888/224/3221227069/94448631.smil
江西经济生活频道,rtsp://115.153.245.70/PLTV/88888888/224/3221226946/70055407.smil
江西影视旅游频道,rtsp://115.153.245.70/PLTV/88888888/224/3221227071/98779894.smil
江西公共农业频道,rtsp://115.153.245.70/PLTV/88888888/224/3221226708/53213097.smil
江西新闻频道,rtsp://115.153.245.70/PLTV/88888888/224/3221226650/53190437.smil
江西移动电视频道,rtsp://115.153.245.70/PLTV/88888888/224/3221227070/96801473.smil
江西教育频道,rtsp://115.153.245.70/PLTV/88888888/224/3221226942/69552502.smil
南昌新闻综合,http://live.cooltv.top/tv/nctv.php?id=1
南昌都市,http://live.cooltv.top/tv/nctv.php?id=2
南昌资讯,http://live.cooltv.top/tv/nctv.php?id=3

央视频道,#genre#
CCTV1,rtsp://115.153.230.145/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV2,rtsp://115.153.230.145/PLTV/88888888/224/3221226825/59814584.smil
CCTV3,rtsp://115.153.230.145/PLTV/88888888/224/3221226930/65406412.smil
CCTV4,rtsp://115.153.230.145/PLTV/88888888/224/3221226838/59814684.smil
CCTV5,rtsp://115.153.230.145/PLTV/88888888/224/3221226907/65396401.smil
CCTV5,rtsp://115.153.230.145/PLTV/88888888/224/3221226976/85722488.smil
CCTV6,rtsp://115.153.230.145/PLTV/88888888/224/3221226909/65396493.smil
CCTV7,rtsp://115.153.230.145/PLTV/88888888/224/3221226827/59814693.smil
CCTV8,rtsp://115.153.230.145/PLTV/88888888/224/3221226911/65406606.smil
CCTV9,rtsp://115.153.230.145/PLTV/88888888/224/3221226840/59814699.smil
CCTV10,rtsp://115.153.230.145/PLTV/88888888/224/3221226630/51813372.smil
CCTV11,rtsp://115.153.230.145/PLTV/88888888/224/3221226986/85722616.smil
CCTV12,rtsp://115.153.230.145/PLTV/88888888/224/3221226829/59814709.smil
CCTV13,rtsp://115.153.230.145/PLTV/88888888/224/3221227037/87447722.smil
CCTV-14,rtsp://115.153.230.145/PLTV/88888888/224/3221226634/51813368.smil
